,Compound,Date,Negative,Neutral,Positive,Tweet,User
84,0.0,Mon Jan 15 03:31:40 +0000 2018,0.0,1.0,0.0,Review: A Fantasy Town Builds a Wall Against Time in ‘Ballyturk’ https://t.co/DX8gucTmZA,nytimes
85,0.0,Mon Jan 15 03:30:20 +0000 2018,0.0,1.0,0.0,Go gray https://t.co/nXX1Fg4cXh,nytimes
86,0.1531,Mon Jan 15 03:11:26 +0000 2018,0.108,0.743,0.149,False Missile Alert Looms as a Black Eye for Hawaii and Its Governor https://t.co/cKivw4Lp8R,nytimes
87,-0.5994,Mon Jan 15 03:08:23 +0000 2018,0.262,0.738,0.0,Secret Tunnel in Berlin Is an Echo From the Cold War https://t.co/6TP8ugbXRc,nytimes
88,-0.3818,Mon Jan 15 02:59:58 +0000 2018,0.178,0.822,0.0,"RT @nytimesarts: In the battle of the peak-TV queens, it's Victoria's turn https://t.co/JJ8nOjD3sw",nytimes
89,-0.2782,Mon Jan 15 02:42:05 +0000 2018,0.136,0.767,0.097,"""We fully felt like we were about to die. I drove to try to get to my kids even though I knew I probably wouldn't m… https://t.co/7QiaxcR3Kp",nytimes
90,-0.34,Mon Jan 15 02:22:26 +0000 2018,0.211,0.789,0.0,"‘I’m Not a Racist,’ Trump Says in Denying Vulgar Comment https://t.co/ZKVU1jeUvj",nytimes
91,0.5574,Mon Jan 15 02:09:54 +0000 2018,0.085,0.682,0.233,"Male sea turtles are disappearing from Australia’s Great Barrier Reef, a new study suggests https://t.co/zjW4rysnUz",nytimes
92,0.0,Mon Jan 15 01:55:56 +0000 2018,0.0,1.0,0.0,"Breaking News: ""I'm not a racist."" President Trump insisted again on Sunday that he did not make a vulgar comment l… https://t.co/NUWF6ipxCm",nytimes
93,-0.3818,Mon Jan 15 01:49:14 +0000 2018,0.224,0.776,0.0,Vikings Shock Saints on Last-Second Touchdown by Stefon Diggs https://t.co/l8VlsKxwQe,nytimes
94,0.0,Mon Jan 15 01:41:54 +0000 2018,0.0,1.0,0.0,"""You can't look down to read the speech, you have to take the speech up. Because if you did your neck would break.""… https://t.co/CqxEpjEwpZ",nytimes
95,0.0,Mon Jan 15 01:22:55 +0000 2018,0.0,1.0,0.0,"""You can't look down to read the speech, you have to take the speech up. Because if you did your neck would break.""… https://t.co/yan4tsOORc",nytimes
96,-0.296,Mon Jan 15 01:04:22 +0000 2018,0.109,0.891,0.0,President Trump accused The Wall Street Journal of purposely misquoting him. The Journal responded by posting an au… https://t.co/HhluE5bIs5,nytimes
97,0.0,Mon Jan 15 00:47:03 +0000 2018,0.0,1.0,0.0,Essay: The Poet of Light https://t.co/2vn1TEtBSN,nytimes
98,-0.6529,Mon Jan 15 00:41:27 +0000 2018,0.289,0.633,0.078,"""The risk of accidental nuclear war is not hypothetical — accidents have happened in the past, and humans will err… https://t.co/uetTDZsMuI",nytimes
99,-0.5994,Mon Jan 15 00:24:05 +0000 2018,0.281,0.719,0.0,Military Quietly Prepares for a Last Resort: War With North Korea https://t.co/wS6mIkgOHl,nytimes
100,0.0,Sun Jan 14 20:15:03 +0000 2018,0.0,1.0,0.0,Britain is the only place in the world with a medieval Coronation ceremony. 🇬🇧 #TheCoronation https://t.co/WJfENrXnu3,BBC
101,-0.079,Sun Jan 14 20:00:09 +0000 2018,0.142,0.731,0.128,"Long nights, snowshoes and a broken down boat... 

🎥🐯🎬 This is what it was really like filming #BigCats.… https://t.co/Ot9oNcEwkI",BBC
102,-0.2023,Sun Jan 14 19:30:08 +0000 2018,0.182,0.677,0.141,"Ten times pop culture romanticised sexual harassment. 

And maybe you didn't even notice it...… https://t.co/P28RPwXaNK",BBC
103,0.0772,Sun Jan 14 19:00:07 +0000 2018,0.188,0.598,0.214,"No sympathy from the camera operator at all. 😂
https://t.co/cQF64ofzMz",BBC
104,0.296,Sun Jan 14 18:33:04 +0000 2018,0.0,0.891,0.109,"On the 65th anniversary of the Coronation, the Queen shares her memories of the ceremony. 👑

#TheCoronation | 8pm |… https://t.co/E9PmcZEnsf",BBC
105,-0.0772,Sun Jan 14 18:00:06 +0000 2018,0.098,0.902,0.0,🚴🇨🇴 Could one of the toughest cycling races bring unity to Colombia? https://t.co/VRRzqjLWMa,BBC
106,0.9423,Sun Jan 14 17:30:08 +0000 2018,0.0,0.377,0.623,"Rusty spotted cats are super rare, super small and super adorable. 😻

#BigCats https://t.co/PgIC5WfdaJ",BBC
107,0.2003,Sun Jan 14 17:02:03 +0000 2018,0.0,0.905,0.095,"Remember when Jay-Z had a legal showdown with a restaurant in Newcastle?! 🤔🎶

Here are 6 of the strangest lawsuits… https://t.co/PwwpuXxHrZ",BBC
108,-0.4767,Sun Jan 14 16:30:09 +0000 2018,0.162,0.838,0.0,"🔍 @IanMcKellen stars as a retired Sherlock Holmes who is haunted by a final case.

#MrHolmes | 6:20pm | @BBCTwo |… https://t.co/iTfz9A9NfS",BBC
109,0.0,Sun Jan 14 16:00:06 +0000 2018,0.0,1.0,0.0,"In Greenland, you can find a shark that could live for hundreds of years. 😲🦈 https://t.co/kc08HclHef",BBC
