CityID,Latitude,Longtitude,Nearest City,Max_Temp,Humidity,Cloudiness,Wind Speed
277,-76.6062222,-42.44890265,ushuaia,2,100,75,2.6
278,45.35483189,-165.7493976,bethel,-3,92,90,3.6
279,54.10856594,-80.82102556,attawapiskat,,,,
280,-17.79243002,-114.4672211,rikitea,27.6,96,64,6.77
281,35.47900034,48.48584657,bahar,10,74,40,8.2
282,86.18483065,-13.46699742,illoqqortoormiut,,,,
283,-77.30852796,-91.5159357,punta arenas,6,70,75,6.7
284,-74.33863777,60.7491747,taolanaro,,,,
285,-10.44082097,72.90060413,hithadhoo,29.3,100,20,6.62
286,-51.91172274,121.2758044,albany,-4,53,20,6.7
287,-31.09343583,-84.18824199,lebu,21.6,55,32,2.67
288,55.72095065,67.48722023,armizonskoye,-2.35,85,80,7.82
289,-38.61402356,109.9246852,busselton,19.35,100,0,8.72
290,57.81776824,25.68273545,seda,-7.3,98,0,3.37
291,79.03660803,131.3625128,tiksi,-31.85,38,12,2.07
292,27.49419914,-52.07361997,saint george,17,63,40,2.1
293,18.72190977,-22.61219752,santa maria,16.4,92,8,1.52
294,61.41218104,-79.36481009,attawapiskat,,,,
295,70.56155131,-165.1074231,nome,21,94,90,2.1
296,6.245235966,125.9574745,surop,,,,
297,-30.92655137,-49.7877979,cidreira,18.65,97,56,3.57
298,80.79880423,10.64825227,barentsburg,,,,
299,38.062499,93.11513164,hami,15.65,48,0,2.17
300,-77.44001274,21.82848525,bredasdorp,23,56,0,10.3
301,71.40840041,26.61573033,honningsvag,-0.2,99,76,9.37
302,-3.75222659,158.071318,kieta,23.15,100,92,2.22
303,22.87055418,56.41493534,nizwa,30.6,15,0,3.52
304,26.35864359,-133.1768409,lompoc,8,93,75,3.27
305,-9.243237932,22.5696273,luau,26.7,80,0,1.47
306,69.83319194,-125.4555518,norman wells,-2,79,90,1.5
307,-27.52895549,-87.59955337,coquimbo,10,93,0,2.6
308,56.5033107,109.3088169,nizhneangarsk,-4.9,70,76,3.22
309,-23.33898231,-131.7582603,rikitea,27.6,96,64,6.77
310,-78.71195185,-125.6461942,rikitea,27.6,96,64,6.77
311,41.09049034,167.9291353,nikolskoye,-7,67,40,4
312,-15.10911131,17.76188114,menongue,20.25,92,48,1.47
313,-31.35922782,127.0944686,esperance,25.7,80,92,3.17
314,-84.87515006,-116.1954073,punta arenas,6,70,75,6.7
315,82.52077116,-100.7106829,yellowknife,-12,78,40,3.6
316,-36.81602867,-157.0030241,mataura,7.65,79,8,2.12
317,62.40240981,-64.55279003,pangnirtung,-18.05,76,88,3.67
318,-86.04961456,119.262932,albany,-4,53,20,6.7
319,-75.20473688,-23.95809369,ushuaia,2,100,75,2.6
320,-73.55817185,-177.6482364,vaini,28.3,77,80,1.67
321,25.64515291,149.3559094,katsuura,9,45,0,4.1
322,27.50882028,153.4977153,hasaki,8,45,20,4.6
323,-59.82841345,-37.89250058,mar del plata,7.75,92,0,3.62
324,29.64786936,-83.98827778,tallahassee,13,93,40,1.07
325,34.88402401,-163.8996855,kapaa,23,94,90,1.87
326,-25.00663972,36.57049011,inhambane,29,79,40,5.1
327,-44.97646612,-128.5433947,rikitea,27.6,96,64,6.77
328,-15.08251074,11.90488248,namibe,24.15,100,100,1.62
329,-15.818746,146.1788402,cairns,28,74,75,6.7
330,-79.7073884,156.220936,bluff,30,40,24,3.57
331,87.94342249,1.254610634,barentsburg,,,,
332,-21.02291425,-106.0293274,puerto ayora,25.15,100,32,1.17
333,23.80069975,-152.7158265,hilo,23,88,20,2.1
334,30.34648874,46.68241523,khorramshahr,26,41,36,5.1
335,76.04851829,150.1368188,chokurdakh,-34.5,0,0,3.92
336,87.17943846,36.59328661,vardo,2,37,1,4.1
337,-3.28449481,104.0363446,prabumulih,30.45,82,32,1.67
338,31.54634759,137.3602944,shingu,11,57,20,3.1
339,-83.65416187,-76.90367237,ushuaia,2,100,75,2.6
340,-5.509775183,84.68232535,hambantota,29.2,96,12,6.07
341,7.832860162,173.2384632,butaritari,28.6,99,24,2.52
342,71.83242263,-17.68238178,illoqqortoormiut,,,,
343,9.055098562,-130.113088,atuona,27.95,98,92,7.17
344,-58.27322974,13.96295403,hermanus,20.75,53,24,3.67
345,-61.66539759,174.757036,kaitangata,11.05,69,0,6.12
346,13.80682354,87.80242939,port blair,28,100,0,4.22
347,10.86391099,-90.08024173,la libertad,11,76,40,0.42
348,-64.35217944,-85.33206901,punta arenas,6,70,75,6.7
349,73.98538905,-139.6740313,aklavik,-11,85,90,1.5
350,70.47518971,-140.0240654,aklavik,-11,85,90,1.5
351,-88.78798539,-113.2253492,punta arenas,6,70,75,6.7
352,14.82164664,52.3448337,salalah,28,58,20,4.1
353,-76.8217292,-52.48838057,ushuaia,2,100,75,2.6
354,79.23953104,-100.6759119,yellowknife,-12,78,40,3.6
355,-73.81795771,179.8306171,kaitangata,11.05,69,0,6.12
356,3.595600614,121.5460501,sapa,32,52,20,6.2
357,-47.67187474,-13.31856028,jamestown,27.9,23,0,3.82
358,-14.20048164,-179.6887105,halalo,,,,
359,-48.86463756,-108.5574074,castro,7.65,100,44,1.47
360,43.8766614,60.55523301,karauzyak,,,,
361,-83.5001229,139.0031871,hobart,26,41,0,6.7
362,0.475653961,-81.26720993,muisne,21.65,98,92,1.42
363,-54.17681915,44.5798189,east london,21,68,20,3.1
364,-79.39014218,-71.8412868,ushuaia,2,100,75,2.6
365,4.882603382,106.3064745,paka,9,100,90,4.6
366,-36.16757447,176.2573814,whitianga,20.6,100,76,12.87
367,56.05833456,29.33435485,pustoshka,-7.4,83,0,4.82
368,53.99501223,167.8905128,nikolskoye,-7,67,40,4
369,-50.0065212,-39.33252334,chuy,17.8,96,0,4.27
370,82.53927612,50.27154097,belushya guba,,,,
371,1.658796951,-2.588398506,axim,26.55,100,64,5.37
372,49.322377,92.28002725,ulaangom,-1.55,89,32,1.37
373,25.72414577,-71.68936899,cockburn town,22.9,100,88,7.32
374,-83.53546838,116.7040213,albany,-4,53,20,6.7
375,-61.61454815,-80.17971235,punta arenas,6,70,75,6.7
376,77.05984208,117.1040465,saskylakh,-28.4,56,32,3.97
377,25.79176987,111.3949212,lengshuitan,15.5,100,88,1.67
378,4.120140858,22.15081842,ouango,30.25,76,0,1.32
379,-81.40794592,-10.84793642,cape town,24,38,0,2.6
380,-0.286764913,149.9511874,kavieng,28.5,100,68,5.37
381,75.699556,-176.8010539,mys shmidta,,,,
382,-65.03326099,91.0619135,busselton,19.35,100,0,8.72
383,-35.34528282,-29.32605763,arraial do cabo,26.1,91,56,3.77
384,-89.95775072,35.21263859,port elizabeth,-1,58,1,2.6
385,63.345152,-89.56455504,thompson,-10,61,75,1.5
386,-57.94237892,-44.21805054,mar del plata,7.75,92,0,3.62
387,-82.35355481,81.91966727,busselton,19.35,100,0,8.72
388,-73.95375718,-21.60216693,ushuaia,2,100,75,2.6
389,23.3594364,7.797722462,gat,21.25,71,64,5.67
390,2.712838447,-83.58432585,muisne,21.65,98,92,1.42
391,-81.81599821,149.6116085,hobart,26,41,0,6.7
392,54.04693688,110.7904591,kurumkan,-6,76,80,2.32
393,-85.22629864,68.83944619,taolanaro,,,,
394,-80.62679429,-44.45818558,ushuaia,2,100,75,2.6
395,-45.78288416,65.32427057,saint-philippe,-7,41,75,4.6
396,-63.03711078,-95.10300315,punta arenas,6,70,75,6.7
397,-62.75262459,-100.0140334,punta arenas,6,70,75,6.7
398,9.872497009,172.6470818,butaritari,28.6,99,24,2.52
399,53.9497129,121.3018172,amazar,-1.85,50,76,3.47
400,61.1349227,-163.8293471,bethel,-3,92,90,3.6
401,-79.86417472,-10.78536068,cape town,24,38,0,2.6
402,14.94106418,-167.6629524,kapaa,23,94,90,1.87
403,49.35147541,-101.861728,carnduff,-17.9,51,0,2.12
404,-82.88606145,-32.45107519,ushuaia,2,100,75,2.6
405,13.42893719,-88.46877282,santiago de maria,25,88,20,0.5
406,23.20247469,28.30848048,aswan,29,17,0,3.6
407,-40.79545936,-159.5105558,avarua,24,88,40,1
408,-75.90107186,90.3099658,busselton,19.35,100,0,8.72
409,24.73108952,36.33333823,umm lajj,28.3,56,0,3.82
410,-75.84587066,-7.507544681,cape town,24,38,0,2.6
411,57.60800969,-166.7917755,bethel,-3,92,90,3.6
